Max Temp,Min Temp,Daily Total Rainfall,Humid 8.30,Humid 17.30
29.4,15.4,0,40,21
31.4,14.9,0,27,29
32.4,15.9,0,39,27
32.7,18.5,0,43,26
33,19.9,0,48,31
33.5,18.9,0,54,36
33.4,18.2,0,55,35
33.4,19.9,0,84,28
34.1,17,0,42,22
33.3,19.2,0,33,25
34.4,19.7,0,46,31
35.8,19.9,0,45,28
37.6,18.6,0,68,27
38.7,21.5,0,53,25
36.7,21,0,61,29
33.9,16.5,0,42,24
35.9,14.5,0,34,26
37.2,17.4,0,80,38
33.4,19.4,0,86,24
35.3,21.5,0,71,33
36.9,23.3,0,48,23
36.7,22,0,67,26
36.3,20.3,0,63,24
37,20,0,50,21
37.6,23.5,0,52,21
38.2,21.2,0,59,28
35.7,21,0,51,26
37,22.8,0,60,21
37.8,21.9,0,62,25
36.6,21,0,71,23
37.4,22.9,0,78,23
37.4,19.4,0,47,26
39.3,20.6,0,55,29
40.5,24.2,0,48,21
38.9,25,0,53,23
38.4,21.7,0,41,19
38.6,20.1,0,32,17
38.7,20.9,0,58,19
38.6,21,0,56,17
38.4,22.7,0,48,26
38.4,23.2,0,51,20
38.7,23.5,0,67,22
38.7,23.5,0,60,28
39.7,23.3,0,52,28
40.6,25.6,0,60,31
39.2,24.7,0,74,22
38.4,25.5,0,68,31
38,25.2,0,68,31
39.8,20.7,11.4,58,30
36.4,25.3,0,39,20
39.9,23.5,0,42,24
40,23.3,0,39,17
40.5,26.1,0,45,25
40.1,25.7,0,56,21
41.2,26.5,0,63,23
42.5,29.1,0,47,17
43.2,27.7,0,48,18
42.9,26,0,55,18
42.2,24.8,0,49,19
42.5,26.2,0,62,21
41.3,26.1,0,71,34
41.6,24.4,0,64,31
39.6,28,0,69,28
40.6,27,0,49,28
41.8,24.8,0.4,43,18
42.5,28.2,0,33,17
42.6,27.6,0,40,13
41.6,26.6,0,71,34
39.6,24.4,0,70,25
39.9,26.8,0,70,25
39.7,26.4,0,70,34
39.6,24.5,0,56,39
38,26.9,0,70,38
38.7,25.9,0,70,40
38.3,27.3,0,72,37
39.8,28.2,0,67,36
40.4,28.4,0,60,36
40.7,27.8,0,55,28
40.7,27.9,0,58,26
42.2,28,0,68,23
43,27.6,0,63,29
43.3,24.4,0,55,26
43.3,28.3,0,53,39
42,28.9,0,53,41
41.9,29,0,57,27
44.4,29,0,56,22
43.8,27.9,0,63,20
44.5,27.6,0,51,19
43.2,27.2,0,65,33
42.6,28,0,70,36
41.4,29,0,69,31
44,28.2,0,56,28
43.8,29.8,0,50,23
45,29.6,0,67,25
44,29.5,0,55,28
44.3,28.4,0,62,26
43.6,28,0,60,28
44.4,27.8,0,61,22
42.5,29,0,63,38
42,29.6,0,70,42
39.7,28.2,0,69,42
40.1,28,0,61,41
40.3,27.9,0,67,46
40,27.8,0,67,53
39.4,27.8,0,69,59
37.4,27.5,0,72,70
37,27.7,1,71,48
39,27.8,0,69,42
40.6,28.8,0,69,42
41,28.6,0,67,52
41,28.3,0,66,42
40.2,28.6,0,64,38
41,28.8,0,67,34
40.6,28.6,0,65,35
40.6,27.9,0,66,33
40,28,0,68,39
39.4,27.8,0,69,32
40.2,27.8,0,66,38
39.5,27.5,0,66,34